airport_id,name,country,latitude,longitude
07FA,Ocean Reef Club Airport,US,25.325399,-80.274803
5A8,Aleknagik / New Airport,US,59.2826004028,-158.617996216
OMNK,Sas Al Nakheel Air Base,AE,24.44128,54.51696
TAPB,Burton-Nibbs International Airport,AG,17.621194,-61.798347
AGGH,Honiara International Airport,SB,-9.428,160.054993
AGGM,Munda Airport,SB,-8.32797,157.263
ANYN,Nauru International Airport,NR,-0.547893,166.919525
AQ-0016,Grandfather Skiway,AQ,-77.530242,-31.827393
AQBC,Boulder Clay Runway,AQ,-74.739373,164.03539
SACT,Chamical Airport,AR,-30.345303,-66.294072
AR-0767,Aeroestación Yabotí,AR,-27.180308,-54.107368
AR-0768,[Duplicate] Aeropuerto Pergamino,AR,-33.89603,-60.5748
AT03,Concordia Skyway,AQ,-75.103278,123.35825
AT28,Vostok Skiway,AQ,-78.466139,106.84825
YSWS,Western Sydney International (Nancy-Bird Walton) Airport,AU,-33.883461,150.712981
YNKR,Nackeroo Airfield,AU,-15.578026,130.475993
ZBAL,Alxa Left Banner Bayanhot Airport,CN,38.748317,105.58416
AYBA,Baimuru Airport,PG,-7.496955,144.821756
AYBK,Buka Airport,PG,-5.422299,154.672698
AYBM,Balimo Airport,PG,-8.05000019073,142.932998657
AYCH,Chimbu Airport,PG,-6.024290084838867,144.9709930419922
AYDU,Daru Airport,PG,-9.08676,143.207993
AYGA,Goroka Airport,PG,-6.081689834590001,145.391998291
AYGN,Gurney Airport,PG,-10.3114995956,150.333999634
AYGR,Girua Airport,PG,-8.80453968048,148.309005737
AYHK,Hoskins Airport,PG,-5.463846,150.407327
AYKM,Kerema Airport,PG,-7.96361017227,145.770996094
AYKV,Kavieng Airport,PG,-2.57940006256,150.807998657
AYMD,Madang Airport,PG,-5.20707988739,145.789001465
AYMH,Mount Hagen Kagamuga Airport,PG,-5.828212,144.299412
AYMN,Mendi Airport,PG,-6.14774,143.656998
AYMO,Momote Airport,PG,-2.06189,147.423996
AYNZ,Nadzab Tomodachi International Airport,PG,-6.567995,146.726544
AYPY,Port Moresby Jacksons International Airport,PG,-9.443380355834961,147.22000122070312
AYTK,Tokua Airport,PG,-4.34046,152.380005
AYVN,Vanimo Airport,PG,-2.6926,141.3028
AYWD,Wapenamanda Airport,PG,-5.635293,143.892231
AYWK,Wewak International Airport,PG,-3.58383011818,143.669006348
UBTT,Zabrat Airport,AZ,40.494884,49.977065
AZ-0013,Sitalchay Airbase,AZ,40.807313,49.431481
AZ-0021,Qizilagach Air Base,AZ,39.006162,48.806312
BCW,Benguera Island Airport,MZ,-21.8533,35.438301
LBIA,Bezmer Air Base,BG,42.454899,26.3522
BGAA,Aasiaat Airport,GL,68.721802,-52.784698
BGCO,Neerlerit Inaat Airport,GL,70.743103,-22.650499
BGGH,Nuuk International Airport,GL,64.191066,-51.67914
BGJN,Ilulissat Airport,GL,69.243202,-51.057098
BGKK,Kulusuk Airport,GL,65.573601,-37.1236
BGQQ,Qaanaaq Airport,GL,77.488602,-69.388702
BGSF,Kangerlussuaq International Airport,GL,67.010446,-50.715294
BGSS,Sisimiut Airport,GL,66.951302,-53.729301
BGTL,Pituffik Space Base,GL,76.53063,-68.700541
BIAR,Akureyri International Airport,IS,65.656573,-18.072018
BIBD,Bildudalur Airport,IS,65.641296,-23.5462
BIEG,Egilsstaðir Airport,IS,65.2833023071289,-14.401399612426758
BIGR,Grímsey Airport,IS,66.5458,-18.0173
BIHN,Hornafjörður Airport,IS,64.295601,-15.2272
BIHU,Húsavík Airport,IS,65.952301,-17.426001
BIIS,Ísafjörður Airport,IS,66.058098,-23.1353
BIKF,Keflavik International Airport,IS,63.985001,-22.6056
BIRK,Reykjavík Domestic Airport,IS,64.128732,-21.93759
BIRL,Mývatn Airport,IS,65.6558,-16.9181
BISI,Siglufjörður Airport,IS,66.137847,-18.908157
BIVM,Vestmannaeyjar Airport,IS,63.42430114746094,-20.278900146484375
BIVO,Vopnafjörður Airport,IS,65.720596,-14.8506
BKPR,Priština Adem Jashari International Airport,XK,42.5728,21.035801
SBVC,Glauber de Andrade Rocha Airport,BR,-14.907885,-40.914804
BR-2182,Russas - João de Deus Regional Airport,BR,-4.94727,-38.008202
VTSY,Betong International Airport,TH,5.79,101.15
UMIO,Orsha Airport - Balbasovo Air Base,BY,54.439999,30.2967
UMMO,Osovtsy Air Base,BY,52.556999,24.884001
MZCK,Caye Caulker Airport,BZ,17.735015,-88.032862
MZCP,Caye Chapel Airport,BZ,17.683792,-88.044985
MZCZ,Corozal Airport,BZ,18.3822,-88.411903
MZPB,Dangriga Airport,BZ,16.98251,-88.230988
MZSJ,Sartaneja Airport,BZ,18.3561,-88.130798
MZSP,John Greif II Airport,BZ,17.9139,-87.9711
MZBE,Sir Barry Bowen Municipal Airport,BZ,17.517239,-88.195775
BZB,Bazaruto Island Airport,MZ,-21.5411,35.4729
CAJ4,Anahim Lake Airport,CA,52.451501,-125.303776
CAT4,Qualicum Beach Airport,CA,49.337456,-124.393086
CAZ5,Cache Creek-Ashcroft Regional Airport,CA,50.775258,-121.321314
CBBC,Bella Bella (Campbell Island) Airport,CA,52.185001,-128.156994
CN-0003,Laohutun Air Base,CN,39.669998,121.765999
CN-0004,Pulandian Air Base,CN,39.450901,122.017998
CN-0006,Beijing Shahezhen Air Base,CN,40.149166107177734,116.3213882446289
CN-0007,Beijing Tongxian Air Base,CN,39.81111145019531,116.70833587646484
CN-0013,Fengning Air Base,CN,41.260799407958984,116.61799621582031
CN-0014,Hohhot Bikeqi Air Base,CN,40.737015,111.229749
CN-0015,Huairen Air Base,CN,39.717499,113.142998
ZBLX,Liangxiangzhen Air Base,CN,39.757801,116.125999
CN-0018,Tangguantun Air Base,CN,38.781101,117.068001
CN-0020,Wenshui Air Base,CN,37.407799,111.966003
CN-0021,Yangcun Air Base,CN,39.37329864501953,117.09500122070312
CN-0022,Yongning Air Base,CN,40.50310134887695,116.10800170898438
CN-0025,Tangshan Zunhua Air Base,CN,40.102501,117.887001
CN-0026,Chengdu Huangtianba Air Base,CN,30.705299,103.949997
CN-0030,Chongqing Baishiyi Air Base,CN,29.4953,106.359001
CN-0041,Luliang Air Base,CN,24.988192,103.642833
CN-0043,Honghe Mengzi Airport / Mengzi Air Base,CN,23.3953,103.334
CN-0045,Qionglai Air Base,CN,30.49099,103.466139
CN-0048,Wenshan Air Base,CN,23.715599060058594,103.8270034790039
CN-0049,Xiangyun Midu Air Base,CN,25.445299,100.735001
CN-0053,Baihe Ningming Air Base,CN,22.120481,107.125046
ZGCS,Changsha Datuopu Airport / Changsha Air Base,CN,28.068522,112.957306
CN-0056,Dangyang Air Base,CN,30.798599,111.809998
CN-0057,Foluo Northeast Air Base,CN,18.6922,109.161003
ZUBZ,Bazhong Enyang Airport,CN,31.73842,106.644872
CN-0063,Guiping Mengxu Air Base,CN,23.330799,110.009003
CN-0069,Jialaishi Air Base,CN,19.697201,109.725998
CN-0071,Leiyang Air Base,CN,26.587200164794922,112.89199829101562
CN-0072,Lingshui Air Base,CN,18.4944,109.987999
CN-0074,Shangqiu Air Base,CN,34.449507,115.459261
CN-0076,Zhengzhou Air Base,CN,34.86125,113.729631
ZGSG,Shaoguan Danxia Airport,CN,24.9786,113.420998
CN-0080,Suixi Air Base,CN,21.3958,110.199997
ZSGS,Jinggangshan Airport,CN,26.856899,114.737
CN-0083,Guodu Air Base,CN,36.000428,117.625833
CN-0085,Xiaogan Air Base,CN,30.95359,113.911774
CN-0090,Cangxian Air Base,CN,38.403025,116.930924
CN-0092,Jiaozhou Jiaocheng Air Base,CN,36.331163,120.025538
CN-0094,Jiugucheng Air Base,CN,37.491153,116.116726
CN-0095,Kaifeng Air Base,CN,34.75389862060547,114.33899688720703
CN-0096,Laiyang Air Base,CN,36.9636,120.591003
CN-0097,Luyang Air Base,CN,33.685434,112.89053
CN-0106,Xuzhou Daguozhang Air Base,CN,34.229285,117.245665
CN-0111,Zhucheng Air Base,CN,36.027468,119.43778
CN-0114,Baoji Air Base,CN,34.53125,107.470679
ZLHN,Hainanzhou Gonghe Airport,CN,36.3367,100.480003
CN-0121,Huangdicun Naval Air Base,CN,40.49979,120.659295
CN-0123,Lanzhou Air Base,CN,35.917801,104.218002
CN-0125,Lintao Air Base,CN,35.3083,103.835999
CN-0127,Qingshui Air Base,CN,39.554699,98.884201
CN-0132,Ürümqi South Air Base,CN,43.466593,87.531177
ZWML,Malan Air Base,CN,42.180621,87.186784
CN-0134,Wugong Air Base,CN,34.275907,108.2658
CN-0135,Ürümqi Changji Air Base,CN,43.951175,87.079232
CN-0136,Wuwei Air Base,CN,37.9883,102.567001
CN-0137,Xi'an Air Base,CN,34.153059,108.599739
CN-0138,Xincheng Air Base,CN,25.5483,114.619003
CN-0139,Yaerbashi Test Range,CN,43.077202,92.808098
CN-0140,Yanliang Air Base,CN,34.642248,109.241867
CN-0146,Daishan Air Base,CN,30.287581,122.144401
CN-0147,Feidong Air Base,CN,31.909401,117.658997
CN-0149,Fuzhou Air Base,CN,26.003857,119.312832
CN-0152,Huian Air Base,CN,25.0261,118.806999
CN-0153,Hangzhou Jianqiao Airport,CN,30.3353,120.240997
ZSJX,Jiaxing Nanhu Airport,CN,30.698056,120.663056
CN-0158,Longtian Air Base,CN,25.5728,119.459999
CN-0163,Nanchang Xiangtang Air Base,CN,28.421205,115.923375
CN-0165,Ningbo Zhuangqiao Air Base,CN,29.9228,121.573997
CN-0169,Shanghai Dachang Air Base,CN,31.324438,121.409508
CN-0178,Wuhan Hannan Municipal Airport,CN,30.25521,114.062805
CN-0182,Zhangshu Air Base,CN,28.023283,115.549649
CN-0185,Changchun Air Base,CN,43.906591,125.197005
ZBNJ,Beijing Nanjiao Airport,CN,39.482845,116.372295
CN-0190,Dingxin-Shuangchengzi Air Base,CN,40.401402,99.789398
CN-0191,Fuxin Air Base,CN,42.078899,121.662003
CN-0192,Gongzhuling Air Base,CN,43.526293,124.78466
CN-0197,Kaiyuan Air Base,CN,42.525934,123.984683
CN-0198,Lalin Air Base,CN,45.259457,126.893536
CN-0201,Pingquan Air Base,CN,40.900409,118.677878
CN-0204,Shenyang Beiling Air Base,CN,41.8708,123.439003
ZYSY,Shenyang Yuhong Quansheng Airport,CN,41.822498,123.299004
CN-0208,Siping Air Base,CN,43.156898,124.292
CN-0209,Suizhong Air Base,CN,40.298992,120.36152
CN-0210,Tuchengzi Air Base,CN,38.912201,121.238998
ZUDR,Shigatse Tingri Airport,CN,28.604567,86.798
ZWTK,Tashikuergan Hongqilafu Airport,CN,37.661333,75.288877
CN-0249,Leshan Airport,CN,29.438627,103.749218
CN-0253,Jiande Qiandaohu General Airport,CN,29.360905,119.180829
CN-0290,Sanya Air Base,CN,18.28754,109.46372
CN-0316,Chenghu General Airport,CN,31.215334,120.789328
ZSTZ,Anji Tianzihu General Airport,CN,30.797725,119.590287
CN-0331,Jiuzhou Airport,CN,26.99838,107.759041
CN-0344,Paozhuwan Air Base,CN,30.673944,114.63089
CN-0345,Shanpo Air Base,CN,30.087612,114.31366
ZUPL,Ali Pulan Airport,CN,30.397898,81.13317
CN-0396,Shaodong Airport,CN,27.2235,111.6741
CN-0401,Ningxiang Airport,CN,27.987589,112.604971
CN-0418,Hohhot Shengle International Airport (under construction),CN,40.480965,111.575174
ZPZT,Zhaotong Zhaoyang Airport,CN,27.205843,103.691511
ZSBA,Bengbu Tenghu Airport,CN,33.166292,117.058344
ZBXJ,[Duplicate] Beijing Xijiao Airport,CN,39.958592,116.256765
CN-0501,Hancheng Heyang Airport,CN,35.329133,110.3829
CN-JNZ,Sanshilipu Air Base,CN,39.289671,121.762195
CNC3,Brampton-Caledon Airport,CA,43.7603,-79.875
CU-0115,[Duplicate] Holguín Air Base,CU,20.786418,-76.318513
CYAG,Fort Frances Municipal Airport,CA,48.655749,-93.44349
CYAH,La Grande-4 Airport,CA,53.754699707,-73.6753005981
CYAM,Sault Ste Marie Airport,CA,46.483216,-84.508467
CYAQ,Kasabonika Airport,CA,53.52470016479492,-88.6427993774414
CYAV,Winnipeg / St. Andrews Airport,CA,50.0564,-97.032501
CYAX,Lac du Bonnet Airport,CA,50.294399,-96.010002
CYAY,St. Anthony Airport,CA,51.391909,-56.08321
CYAZ,Tofino / Long Beach Airport,CA,49.079833,-125.775583
CYBC,Baie-Comeau Airport,CA,49.1325,-68.204399
CYBD,Bella Coola Airport,CA,52.387501,-126.596001
CYBF,Bonnyville Airport,CA,54.304199,-110.744003
CYBG,Saguenay-Bagotville Airport,CA,48.330123,-70.992012
CYBK,Baker Lake Airport,CA,64.29889678960001,-96.077796936
CYBL,Campbell River Airport,CA,49.950802,-125.271004
CYBR,Brandon Municipal Airport,CA,49.91,-99.951897
CYBU,Nipawin Airport,CA,53.33250045776367,-104.00800323486328
CYBW,Calgary / Springbank Airport,CA,51.103982,-114.369378
CYBX,Lourdes-de-Blanc-Sablon Airport,CA,51.4436,-57.185299
CYCB,Cambridge Bay Airport,CA,69.1081008911,-105.138000488
CYCC,Cornwall Regional Airport,CA,45.092637,-74.567724
CYCD,Nanaimo Airport,CA,49.05497,-123.869863
CYCE,Centralia / James T. Field Memorial Aerodrome,CA,43.285599,-81.508301
CYCG,Castlegar/West Kootenay Regional Airport,CA,49.296398,-117.632004
CYCH,Miramichi Airport,CA,47.007801,-65.449203
CYCL,Charlo Airport,CA,47.990799,-66.330299
CYCN,Cochrane Airport,CA,49.10559844970703,-81.01360321044922
CYCP,Blue River Airport,CA,52.11669921875,-119.28299713134766
CYCQ,Chetwynd Airport,CA,55.687198638916016,-121.62699890136719
CYDA,Dawson City Airport,CA,64.04309844970703,-139.1280059814453
CYDB,Burwash Airport,CA,61.371101,-139.041
CYDF,Deer Lake Airport,CA,49.208159,-57.396147
CYDM,Ross River Airport,CA,61.9706001282,-132.42300415
CYDN,Dauphin Barker Airport,CA,51.1008,-100.052002
CYDO,Dolbeau-Saint-Felicien Airport,CA,48.7785,-72.375
CYDQ,Dawson Creek Airport,CA,55.741245,-120.183263
CYEE,Huronia Airport,CA,44.6833000183,-79.9282989502
CYEG,Edmonton International Airport,CA,53.3097,-113.580002
CYEL,Elliot Lake Municipal Airport,CA,46.351398468,-82.5614013672
CYEM,Manitoulin East Municipal Airport,CA,45.842435,-81.857595
CYEN,Estevan Airport,CA,49.2103004456,-102.966003418
CYET,Edson Airport,CA,53.578899383499994,-116.464996338
CYEV,Inuvik Mike Zubko Airport,CA,68.30419921880001,-133.483001709
CYEY,Amos/Magny Airport,CA,48.563903,-78.249702
CYFB,Iqaluit Airport,CA,63.756402,-68.555801
